alias,accession,ENA biosample accession
AD_winter_study_160725_barcode08,ERS27176677,SAMEA120475991
AD_winter_study_160725_barcode09,ERS27176678,SAMEA120475992
AD_winter_study_160725_barcode10,ERS27176679,SAMEA120475993
AD_winter_study_160725_barcode11,ERS27176680,SAMEA120475994
AD_winter_study_160725_barcode12,ERS27176681,SAMEA120475995
AD_winter_study_160725_barcode13,ERS27176682,SAMEA120475996
AD_winter_study_160725_barcode14,ERS27176683,SAMEA120475997
AD_winter_study_160725_barcode15,ERS27176684,SAMEA120475998
AD_winter_study_160725_barcode16,ERS27176685,SAMEA120475999
AD_winter_study_160725_barcode17,ERS27176686,SAMEA120476000
AD_winter_study_160725_barcode18,ERS27176687,SAMEA120476001
AD_winter_study_160725_barcode19,ERS27176688,SAMEA120476002
AD_winter_study_160725_barcode20,ERS27176689,SAMEA120476003
AD_winter_study_160725_barcode21,ERS27176690,SAMEA120476004
AD_winter_study_160725_barcode22,ERS27176691,SAMEA120476005
AD_winter_study_160725_barcode23,ERS27176692,SAMEA120476006
AD_winter_study_160725_barcode24,ERS27176693,SAMEA120476007
AD_winter_study_160725_barcode25,ERS27176694,SAMEA120476008
AD_winter_study_160725_barcode26,ERS27176695,SAMEA120476009
AD_winter_study_160725_barcode27,ERS27176696,SAMEA120476010
AD_winter_study_160725_barcode28,ERS27176697,SAMEA120476011
AD_winter_study_160725_barcode29,ERS27176698,SAMEA120476012
AD_winter_study_160725_barcode30,ERS27176699,SAMEA120476013
AD_winter_study_160725_barcode31,ERS27176700,SAMEA120476014
AD_winter_study_160725_barcode32,ERS27176701,SAMEA120476015
AD_winter_study_160725_barcode33,ERS27176702,SAMEA120476016
AD_winter_study_160725_barcode34,ERS27176703,SAMEA120476017
AD_winter_study_170325_barcode41,ERS27176704,SAMEA120476018
AD_winter_study_170325_barcode42,ERS27176705,SAMEA120476019
AD_winter_study_170325_barcode43,ERS27176706,SAMEA120476020
AD_winter_study_170325_barcode44,ERS27176707,SAMEA120476021
